Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,469.30579674562955,475.7031843978769,469.30579674562955,474.75177001953125,2581,0.0,0.0
2020-01-02 00:00:00+05:30,478.6558791488703,478.98395034773864,468.5184710942887,475.4407653808594,3303,0.0,0.0
2020-01-03 00:00:00+05:30,476.1625399312804,482.92079853161505,469.8635489652595,479.50885009765625,5999,0.0,0.0
2020-01-06 00:00:00+05:30,472.488174397956,479.2792729590599,470.6509835001784,475.5720520019531,3429,0.0,0.0
2020-01-07 00:00:00+05:30,479.6072650307606,486.8576300837787,478.983921780537,484.9876403808594,3717,0.0,0.0
2020-01-08 00:00:00+05:30,479.0495629692289,484.2331040862734,478.9839647465848,483.380126953125,10534,0.0,0.0
2020-01-09 00:00:00+05:30,483.38016890575926,495.38756817786987,483.38016890575926,494.23931884765625,5819,0.0,0.0
2020-01-10 00:00:00+05:30,492.13967531210113,495.3875887045505,489.02299842952283,492.3037109375,2923,0.0,0.0
2020-01-13 00:00:00+05:30,491.4507032400538,502.342652072466,482.26470878696875,499.19317626953125,3520,0.0,0.0
2020-01-14 00:00:00+05:30,504.57347042837927,504.57347042837927,492.926943640208,500.7678527832031,2243,0.0,0.0
2020-01-15 00:00:00+05:30,495.4859290670249,506.5419120346916,495.45308991016805,499.7508544921875,5193,0.0,0.0
2020-01-16 00:00:00+05:30,496.2732558338363,504.50787445464374,495.5843143683478,496.5029296875,1602,0.0,0.0
2020-01-17 00:00:00+05:30,493.353471267926,506.57471618895363,493.32063211074205,504.4094543457031,3420,0.0,0.0
2020-01-20 00:00:00+05:30,508.51034295754357,508.51034295754357,490.79449875128074,500.3085632324219,1670,0.0,0.0
2020-01-21 00:00:00+05:30,495.3875369184413,499.29159240436957,490.17119656650385,496.30615234375,958,0.0,0.0
2020-01-22 00:00:00+05:30,491.51630431708617,500.2101919748815,491.45070608971537,494.2065124511719,785,0.0,0.0
2020-01-23 00:00:00+05:30,493.6815405729859,508.5103422770611,493.4190676030322,506.24664306640625,6139,0.0,0.0
2020-01-24 00:00:00+05:30,500.0789897689993,515.0390297834557,494.73141272377075,509.9867248535156,8362,0.0,0.0
2020-01-27 00:00:00+05:30,506.96847007441886,509.7898745445646,498.70105133781595,500.37420654296875,1588,0.0,0.0
2020-01-28 00:00:00+05:30,504.5406977612774,511.79106314629934,499.7836654435714,507.59173583984375,13499,0.0,0.0
2020-01-29 00:00:00+05:30,501.9816808481295,527.5384325750921,501.9488817412257,520.7473754882812,14351,0.0,0.0
2020-01-30 00:00:00+05:30,524.1920724569482,527.3743464287418,510.47868307503717,523.7655639648438,7043,0.0,0.0
2020-01-31 00:00:00+05:30,516.8434130105809,524.2578146449443,513.0705939439871,522.781494140625,6245,0.0,0.0
2020-02-03 00:00:00+05:30,505.16399541850836,521.2394824886285,498.6681703384212,518.3196411132812,6138,0.0,0.0
2020-02-04 00:00:00+05:30,513.1033378847563,524.5530303522212,506.1482447202532,514.9733276367188,5663,0.0,0.0
2020-02-05 00:00:00+05:30,522.8470254831502,522.8470254831502,505.29521728815087,508.4447326660156,5192,0.0,0.0
2020-02-06 00:00:00+05:30,507.9526257345364,520.2880941347906,503.26119182553674,511.955078125,4889,0.0,0.0
2020-02-07 00:00:00+05:30,514.9077138584013,520.9114324347548,494.3048278614049,504.50787353515625,17127,0.0,0.0
2020-02-10 00:00:00+05:30,501.9488827994008,506.34504442301085,493.05816223126203,504.3766174316406,22315,0.0,0.0
2020-02-11 00:00:00+05:30,501.39125053029244,506.5419525520367,498.73384166846665,499.02911376953125,3585,0.0,0.0
2020-02-12 00:00:00+05:30,498.76662317805204,503.12994577520834,498.6681858064899,501.65362548828125,3137,0.0,0.0
2020-02-13 00:00:00+05:30,496.24043651487733,505.2295944516845,496.17483830093147,504.3766174316406,5922,0.0,0.0
2020-02-14 00:00:00+05:30,500.04604372109605,505.2295840440239,498.668160874621,503.1627197265625,4558,0.0,0.0
2020-02-17 00:00:00+05:30,501.3583172460743,501.9488613373351,499.3898903388691,499.4227294921875,1877,0.0,0.0
2020-02-18 00:00:00+05:30,496.24050835074945,498.6682433344287,495.5515668135885,497.9465026855469,1419,0.0,0.0
2020-02-19 00:00:00+05:30,496.43730048383884,505.1640260318066,496.43730048383884,498.56976318359375,3206,0.0,0.0
2020-02-20 00:00:00+05:30,498.537034534345,501.0632070412755,493.8128007991867,496.4045715332031,2459,0.0,0.0
2020-02-24 00:00:00+05:30,493.1566244626611,501.94894886714843,492.1724108374314,496.929443359375,4332,0.0,0.0
2020-02-25 00:00:00+05:30,495.28909664244964,501.9161592057545,485.80787057909833,495.12506103515625,15290,0.0,0.0
2020-02-26 00:00:00+05:30,493.05818681063016,499.25874015209905,486.3327275881788,487.97308349609375,2895,0.0,0.0
2020-02-27 00:00:00+05:30,493.71435530376493,493.71435530376493,480.2962352573125,484.3971252441406,1784,0.0,0.0
2020-02-28 00:00:00+05:30,472.4553522488135,476.75307718793573,452.7054809770656,459.0372314453125,7480,0.0,0.0
2020-03-02 00:00:00+05:30,459.2996908342628,473.07868155929066,452.7382666794876,462.7116394042969,1801,0.0,0.0
2020-03-03 00:00:00+05:30,466.94375519497856,469.20741443782197,457.9873954117363,464.2863464355469,2653,0.0,0.0
2020-03-04 00:00:00+05:30,457.2000651978084,465.53308257838967,445.0942286138081,459.95587158203125,3702,0.0,0.0
2020-03-05 00:00:00+05:30,450.8026605318771,469.14184994850643,447.4891491816523,465.46746826171875,10165,0.0,0.0
2020-03-06 00:00:00+05:30,443.58505688223704,458.57793459445895,442.928914489083,450.67138671875,6425,0.0,0.0
2020-03-09 00:00:00+05:30,438.36870317597504,442.2071600848707,425.2130566130644,432.9227294921875,4942,0.0,0.0
2020-03-11 00:00:00+05:30,435.08805850498845,435.08805850498845,410.48271572915763,430.5606994628906,7384,0.0,0.0
2020-03-12 00:00:00+05:30,421.2434078901242,421.2434078901242,379.283094686534,383.8432922363281,11436,0.0,0.0
2020-03-13 00:00:00+05:30,354.6449329917701,418.84844461974626,308.5181347306051,411.4012451171875,4359,0.0,0.0
2020-03-16 00:00:00+05:30,411.99183228968855,436.9908419114681,381.87487986858025,412.58233642578125,8263,0.0,0.0
2020-03-17 00:00:00+05:30,412.48393834109214,416.65042658786916,400.9686071113658,404.6102294921875,5420,0.0,0.0
2020-03-18 00:00:00+05:30,395.1617434630728,413.1728595806537,364.2574537667553,376.3960876464844,7036,0.0,0.0
2020-03-19 00:00:00+05:30,351.23300126264263,376.7241562649995,344.50754199673565,368.55517578125,5430,0.0,0.0
2020-03-20 00:00:00+05:30,357.499169138957,390.4047263816551,346.4431857638889,376.4617004394531,4467,0.0,0.0
2020-03-23 00:00:00+05:30,360.8783365855923,373.9027478050791,328.00559683002,330.4005126953125,4048,0.0,0.0
2020-03-24 00:00:00+05:30,311.76603566418856,342.47350986205066,303.7939100636224,334.73101806640625,4916,0.0,0.0
2020-03-25 00:00:00+05:30,315.01397301999856,340.537908600085,314.98115388538326,339.6192932128906,4676,0.0,0.0
2020-03-26 00:00:00+05:30,368.7191810334014,368.7191810334014,336.01046268098855,362.9779357910156,4576,0.0,0.0
2020-03-27 00:00:00+05:30,396.96614700449703,396.96614700449703,355.6947745447628,360.648681640625,7808,0.0,0.0
2020-03-30 00:00:00+05:30,344.5731638940924,350.87211430287,336.50258112017417,337.749267578125,3395,0.0,0.0
2020-03-31 00:00:00+05:30,337.9789566822231,354.3169195471091,337.25721601335937,339.3896789550781,7817,0.0,0.0
2020-04-01 00:00:00+05:30,339.35685566022306,347.78826944064036,339.35685566022306,344.6387939453125,1114,0.0,0.0
2020-04-03 00:00:00+05:30,345.0324730969268,353.3982888927419,340.07860587052454,349.0021667480469,6883,0.0,0.0
2020-04-07 00:00:00+05:30,360.8782725729001,360.8782725729001,347.75542629752186,360.5502014160156,2362,0.0,0.0
2020-04-08 00:00:00+05:30,357.6304336976253,368.0631146523195,338.96317302030184,365.1104736328125,2392,0.0,0.0
2020-04-09 00:00:00+05:30,362.2889977196415,370.8516469792977,360.84547660723706,368.39111328125,4569,0.0,0.0
2020-04-13 00:00:00+05:30,368.0302733478921,375.3134376752871,360.87830545700683,372.2623596191406,748,0.0,0.0
2020-04-15 00:00:00+05:30,379.87359065937744,399.0985519418911,377.60989172635976,383.9416809082031,2439,0.0,0.0
2020-04-16 00:00:00+05:30,374.85412184674544,396.96612736401,374.00114478923257,395.1289367675781,2520,0.0,0.0
2020-04-17 00:00:00+05:30,396.9989062116115,405.495957340183,395.26015307690915,403.00262451171875,5891,0.0,0.0
2020-04-20 00:00:00+05:30,400.31246021567904,403.5603730889606,393.6526389176913,402.1168518066406,6383,0.0,0.0
2020-04-21 00:00:00+05:30,393.75101681134015,400.8701854928995,383.449613729665,386.008544921875,5540,0.0,0.0
2020-04-22 00:00:00+05:30,383.2199767553929,390.076673132025,376.9210254707652,388.1082458496094,5160,0.0,0.0
2020-04-23 00:00:00+05:30,391.4545178933919,391.7169908577909,367.7021963820923,372.459228515625,6344,0.0,0.0
