Symbol,MarketCap
INNOVANA,7425100288.0
INOXGREEN,55215927296.0
INOXINDIA,105331048448.0
INOXWIND,236572688384.0
INSECTICID,21133731840.0
INSPIRISYS,4403696640.0
INTELLECT,146179211264.0
INTENTECH,2629149952.0
INTERARCH,30403409920.0
INTLCONV,5115318784.0
INVENTURE,1722000000.0
IOB,731558313984.0
IOC,2059153440768.0
IOLCP,23441729536.0
IONEXCHANG,69112020992.0
IPCALAB,353063534592.0
IPL,19075764224.0
IRB,308653293568.0
IRCON,178951979008.0
IRCTC,647800029184.0
IREDA,470616047616.0
IRFC,1815737401344.0
IRIS,5839486976.0
IRISDOREME,5018798592.0
IRMENERGY,11496716288.0
ISFT,1705761408.0
ISGEC,86713344000.0
ISHANCH,881708608.0
ITC,5434248265728.0
ITCHOTELS,420648681472.0
ITDC,51761831936.0
ITDCEM,115097321472.0
ITI,269913145344.0
IVC,3111594752.0
IVP,1916974336.0
IWEL,127403368448.0
IXIGO,68764868608.0
IZMO,4875074048.0
J&KBANK,113404928000.0
JAGRAN,16315343872.0
JAGSNPHARM,14199226368.0
JAIBALAJI,101506162688.0
JAICORPLTD,18617135104.0
JAIPURKURT,610665920.0
JAMNAAUTO,35038425088.0
JASH,36233633792.0
JAYAGROGN,7523400192.0
JAYBARMARU,7473580032.0
JAYNECOIND,42579226624.0
JAYSREETEA,2953879552.0
JBCHEPHARM,255660408832.0
JBMA,170985160704.0
JCHAC,47840100352.0
JETFREIGHT,741532672.0
JGCHEM,14193206272.0
JHS,1360295808.0
JINDALPHOT,9984916480.0
JINDALPOLY,30212616192.0
JINDALSAW,139098800128.0
JINDALSTEL,987497234432.0
JINDRILL,19259389952.0
JINDWORLD,62401826816.0
JIOFIN,1741713309696.0
JISLDVREQS,38207066112.0
JISLJALEQS,38256623616.0
JITFINFRA,11710606336.0
JKCEMENT,403376930816.0
JKIL,53052870656.0
JKLAKSHMI,101002043392.0
JKPAPER,59892076544.0
JKTYRE,96787963904.0
JLHL,91785846784.0
JMA,2184979712.0
JMFINANCIL,110073733120.0
JNKINDIA,20931133440.0
JOCIL,1447724288.0
JPOLYINVST,10189710336.0
JPPOWER,102459228160.0
JSFB,53214900224.0
JSL,541177380864.0
JSWENERGY,872625012736.0
JSWHL,266296508416.0
JSWINFRA,601394053120.0
JSWSTEEL,2501735874560.0
JTEKTINDIA,35734069248.0
JTLIND,27366369280.0
JUBLCPL,23155818496.0
JUBLFOOD,449624735744.0
JUBLINGREA,109043728384.0
JUBLPHARMA,144830283776.0
JUNIPER,71645642752.0
JUSTDIAL,79569625088.0
JWL,177546280960.0
JYOTHYLAB,127404908544.0
JYOTICNC,286552981504.0
JYOTISTRUC,23981926400.0
KABRAEXTRU,9893588992.0
KAJARIACER,148417560576.0
KAKATCEM,1232623232.0
KALAMANDIR,18893789184.0
KALYANIFRG,2924952064.0
KALYANKJIL,579979378688.0
KAMATHOTEL,7252421632.0
KAMDHENU,8160107008.0
KAMOPAINTS,3627656704.0
KANANIIND,457101984.0
KANORICHEM,4153227776.0
KANPRPLA,4192136960.0
KANSAINER,214937337856.0
KAPSTON,4073223424.0
KARMAENG,686789248.0
KARURVYSYA,181773320192.0
KAUSHALYA,320753664.0
KAVVERITEL,1842462464.0
KAYA,3732787456.0
KAYNES,414866767872.0
KBCGLOBAL,2091504000.0
KCP,28067391488.0
KCPSUGIND,4220189952.0
KDDL,33961959424.0
KEC,209140039680.0
KECL,8965903360.0
KEEPLEARN,605719680.0
