Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,19967.111801767605,20078.82962976277,19880.9232430604,19913.115234375,4879,0.0,0.0
2020-01-02 00:00:00+05:30,19913.21348327423,20853.897607348736,19913.21348327423,20807.103515625,31788,0.0,0.0
2020-01-03 00:00:00+05:30,20775.59782190581,20970.564282081865,20530.602564572015,20699.404296875,19053,0.0,0.0
2020-01-06 00:00:00+05:30,20701.904127927362,20795.147792160893,20179.181861201003,20642.712890625,25717,0.0,0.0
2020-01-07 00:00:00+05:30,20674.805256557993,21608.579711773975,20531.58065947286,21523.46875,83884,0.0,0.0
2020-01-08 00:00:00+05:30,21411.603402835834,22237.384718745358,21275.68081305332,21992.046875,68506,0.0,0.0
2020-01-09 00:00:00+05:30,22070.93866369301,22500.218227576665,21880.282578877755,22357.828125,40252,0.0,0.0
2020-01-10 00:00:00+05:30,22408.735544257455,22940.865227441667,22268.74564116407,22878.048828125,41458,0.0,0.0
2020-01-13 00:00:00+05:30,22804.155601181916,23777.326402019913,22762.066187029606,23352.16015625,55253,0.0,0.0
2020-01-14 00:00:00+05:30,23196.147506532525,23343.33986958664,22955.80719491541,23088.349609375,22816,0.0,0.0
2020-01-15 00:00:00+05:30,23196.148694487078,23323.54621583407,22884.024767186944,23253.52734375,24055,0.0,0.0
2020-01-16 00:00:00+05:30,23274.546506201514,23617.53982313501,22603.896956311015,22824.587890625,59132,0.0,0.0
2020-01-17 00:00:00+05:30,22867.856897522295,23173.023367230675,22740.459366059775,22858.939453125,32537,0.0,0.0
2020-01-20 00:00:00+05:30,22866.089891792253,23038.17607147213,22578.710488826386,22669.99609375,26423,0.0,0.0
2020-01-21 00:00:00+05:30,22696.45783473425,22930.280921201964,22374.48622191908,22493.994140625,29652,0.0,0.0
2020-01-22 00:00:00+05:30,22500.361629421575,22833.505373215754,22428.823023195626,22555.92578125,28102,0.0,0.0
2020-01-23 00:00:00+05:30,22555.927903466592,22735.559186268256,22452.442292734173,22617.03125,15181,0.0,0.0
2020-01-24 00:00:00+05:30,22550.442103974692,22835.518981141402,22412.167157269927,22671.51953125,31218,0.0,0.0
2020-01-27 00:00:00+05:30,22637.462883833425,23290.227827801846,22500.51054271858,23126.03125,35307,0.0,0.0
2020-01-28 00:00:00+05:30,23088.352602966897,23509.74443740135,22895.346108595975,22972.71484375,13422,0.0,0.0
2020-01-29 00:00:00+05:30,23067.8706643605,23303.948473034125,22741.536987257037,23035.62890625,13788,0.0,0.0
2020-01-30 00:00:00+05:30,22958.30953976526,23175.570560841163,22813.172823122295,23015.1484375,18380,0.0,0.0
2020-01-31 00:00:00+05:30,23154.306791893236,23208.89097021079,22370.66457045583,22546.326171875,26041,0.0,0.0
2020-02-03 00:00:00+05:30,21967.348975817848,22886.47342406925,21961.42123992123,22801.705078125,19173,0.0,0.0
2020-02-04 00:00:00+05:30,22931.55296224432,24165.643669963552,22836.690045918636,23995.224609375,46295,0.0,0.0
2020-02-05 00:00:00+05:30,23923.34418118771,24783.71767139416,23923.34418118771,24395.10546875,65213,0.0,0.0
2020-02-06 00:00:00+05:30,24546.562843155767,24768.968754216607,24254.773515203447,24511.96875,35930,0.0,0.0
2020-02-07 00:00:00+05:30,24519.172940824697,24847.41679183558,24205.529274633755,24419.3125,15201,0.0,0.0
2020-02-10 00:00:00+05:30,24499.52524830081,24645.787414033166,24323.61865701801,24461.943359375,33336,0.0,0.0
2020-02-11 00:00:00+05:30,24548.52622923903,24735.16286164711,24199.947722204928,24316.7109375,9352,0.0,0.0
2020-02-12 00:00:00+05:30,24480.905882359457,24642.602750803046,23951.716131089528,24195.681640625,15946,0.0,0.0
2020-02-13 00:00:00+05:30,24205.53133774636,24394.86290632455,23966.71072736428,24123.310546875,15155,0.0,0.0
2020-02-14 00:00:00+05:30,24254.529255508573,24414.315919911063,23694.6175053789,23944.462890625,44419,0.0,0.0
2020-02-17 00:00:00+05:30,23833.13591324983,23956.123518394274,23475.442878367587,23547.03125,14630,0.0,0.0
2020-02-18 00:00:00+05:30,23519.542708891902,23519.542708891902,22834.291032258876,23301.251953125,39818,0.0,0.0
2020-02-19 00:00:00+05:30,24352.526147549754,24695.421858283484,23830.00108048889,24042.1171875,156489,0.0,0.0
2020-02-20 00:00:00+05:30,23911.53486763468,24295.344784493387,23784.774716213153,23918.787109375,32057,0.0,0.0
2020-02-24 00:00:00+05:30,23724.460211908445,24193.140968735097,23314.992548406008,23460.2421875,29338,110.0,0.0
2020-02-25 00:00:00+05:30,23460.246627805172,23625.038522349612,23112.20693098511,23204.7421875,38362,0.0,0.0
2020-02-26 00:00:00+05:30,23122.837741332867,23229.598987278354,22792.31952095336,23099.5078125,34970,0.0,0.0
2020-02-27 00:00:00+05:30,23182.050112507965,23554.45606046917,22776.27394598713,23441.494140625,80008,0.0,0.0
2020-02-28 00:00:00+05:30,23035.370052154096,23359.24341741729,22113.90526011556,22317.6796875,91009,0.0,0.0
2020-03-02 00:00:00+05:30,22454.566280291154,23062.8863894659,22445.06626556429,22682.951171875,58063,0.0,0.0
2020-03-03 00:00:00+05:30,22936.87933432541,23473.3869086487,22690.824932388598,23225.51171875,28737,0.0,0.0
2020-03-04 00:00:00+05:30,23428.153980172458,23524.134694196862,22445.705235594443,22893.615234375,44423,0.0,0.0
2020-03-05 00:00:00+05:30,22920.192008327933,23213.844509401,22642.586281130043,22706.76953125,43550,0.0,0.0
2020-03-06 00:00:00+05:30,22444.624238474953,22936.931117975415,22151.36583762587,22750.333984375,34236,0.0,0.0
2020-03-09 00:00:00+05:30,22642.09784521582,22642.540064075904,21373.67572075937,21519.517578125,62959,0.0,0.0
2020-03-11 00:00:00+05:30,21440.614646193742,21956.399462235662,21241.958411754713,21553.724609375,50666,0.0,0.0
